UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
PDRM-100,PDRM,BALAI LAPANGAN TERBANG,BALAI/UNIT,Balai Polis LTSAAS,PENGURUSAN,IPD Petaling Jaya,,,,,,100,-16570.512,-4449.28,3.1337742,101.5534351,True
PDRM-159,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kampung Baru Subang,PENGURUSAN,IPD Sungai Buloh,,,,,,159,-18551.083,-3529.183,3.1420976,101.535618,True
PDRM-147,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Komuniti U9 Cahaya SPK,PENGURUSAN,IPD Shah Alam,,,,,,147,-21770.91,-3983.481,3.1379929,101.5066501,True
PDRM-141,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti U13 Setia Alam,JPJKK,IPD Shah Alam,,,,,,141,-27063.947,-4442.561,3.1338455,101.4590308,True
PDRM-080,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Meru,PENGURUSAN,IPD Klang Utara,,,,,,80,-29118.628,-4333.669,3.1348314,101.4405458,True
PDRM-076,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Kapar,PENGURUSAN,IPD Klang Utara,,,,,,76,-36269.266,-4019.14,3.137677,101.3762149,True
PDRM-008,PDRM,IPD,DAERAH,IPD Klang Utara,PENGURUSAN,IPD Klang Utara,,,,"Jalan Harapan 3A/KU7, Taman Sungai Kapar Indah, 42200 Kapar, Klang",03-32912222,8,-36236.117,-8496.22,3.0971888,101.3765136,True
PDRM-079,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Kapar Indah,PENGURUSAN,IPD Klang Utara,,,,,,79,-36236.117,-8496.22,3.0971888,101.3765136,True
PDRM-077,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Raja,PENGURUSAN,IPD Klang Utara,,,,,,77,-30444.935,-10564.962,3.0784796,101.4286116,True
PDRM-078,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bandar Baru Klang,PENGURUSAN,IPD Klang Utara,,,,,,78,-26182.088,-12271.433,3.0630452,101.4669593,True
PDRM-136,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Seksyen 6,PENGURUSAN,IPD Shah Alam,,,,,,136,-21611.086,-9921.682,3.0842911,101.508082,True
PDRM-001,PDRM,IPK,KONTINJEN,Ibu Pejabat Polis Kontinjen Selangor,PENGURUSAN,IPK SELANGOR,,,,"Persiaran Kayangan, Seksyen 9, 40000 Shah Alam, Selangor",03-55145222,1,-20320.85,-9532.663,3.0878078,101.5196895,True
PDRM-014,PDRM,IPD,DAERAH,IPD Shah Alam,PENGURUSAN,IPD Shah Alam,,,,"Persiaran Kayangan, Seksyen 9, 40100 Shah Alam, Selangor",03-55202222,14,-20320.85,-9532.663,3.0878078,101.5196895,True
PDRM-137,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Seksyen 9,PENGURUSAN,IPD Shah Alam,,,,,,137,-20320.85,-9532.663,3.0878078,101.5196895,True
PDRM-152,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis SS17,PENGURUSAN,IPD Subang Jaya,,,,,,152,-13036.285,-11054.921,3.0740314,101.5852198,True
